Name    City
Rooney Craft    Lisciano Niccone
Luke Rush       Spinoso
Lenore Mccarthy Barcelona
Jordan Hewitt   Newport News
Thomas Lambert  Tolentino
Ivan Ferguson   Vlimmeren
Harding Leach   Solre-sur-Sambre
Odessa Buckley  Manoppello
Aidan Fowler    Kitchener
Kyla Bentley    Vedrin
Montana Kelley  Almelo
Alexis Robbins  Evesham
Aquila Spears   Eastbourne
Erica Wells     Gambolò
Regan Huffman   Moio Alcantara
Ima Lopez       Muridke
Noelani Hale    Comblain-Fairon
Anastasia Wall  Porbandar
Stone Baird     New Galloway
Elaine Jordan   Caruaru
Sopoline Vazquez        Luttre
Buckminster Hendrix     Orvieto
Travis Griffith Zerba
Roth Gardner    Chaudfontaine
Nathaniel Shannon       Nasino
Dora Ferguson   Sierning
Sopoline Henson Dundee
Vernon Ellis    Wolkrange
Aspen Singleton Kumbakonam
Katelyn Norton  Austin
Serina Macias   Fayetteville
Cherokee Pittman        Renlies
Venus James     Capannori
Emmanuel Preston        Guelph
Chandler Cardenas       Wilmington
Denton Mccullough       Lethbridge
Georgia James   Asbestos
Isaac Byers     Płock
Glenna Hooper   Plainevaux
Paki Woodward   Mollem
Brenda Zamora   Jalandhar (Jullundur)
Aimee Reid      Colomiers
Donovan Cash    Saint-L�ger
Clare Wiley     Little Rock
Idola Harrington        Banda
Kylynn Ayala    Forchies-la-Marche
Fleur Travis    Wardin
Abraham Payne   Fogliano Redipuglia
Drake Vang      Castiglione Messer Raimondo
Liberty Hahn    Klemskerke
Seth Castaneda  Chiavari
Lee Horn        Etalle
Halee Ford      Vastogirardi
Julian Shaffer  Treglio
Rafael Baldwin  Roma
Griffin Ross    Sant'Angelo in Pontano
Nayda Justice   Vanderhoof
Colby Richmond  Midlands
Echo Cantu      Beez
Herman Martin   Champlain
Chiquita Crawford       Nemi
Dahlia Hartman  Ledbury
Rosalyn Flynn   Ashbourne
Brock Horne     Arbre
Shad Mcpherson  Glendon
Caryn Mcdaniel  San Pedro
Emily Barry     Coleville Lake
Madison Rich    Attigliano
Kirestin Wood   Saint-Malo
Cody Osborne    Aizwal
Isaiah Ford     Wyoming
Melvin Walton   Sterling Heights
Lillith Compton Kircudbright
Zenia Moss      South Burlington
Emi Frederick   Honolulu
Ethan Obrien    Warburg
Faith Thompson  Portobuffolè
Aspen Gordon    Worcester
Martina Sosa    Cametá
Raymond Crane   Jacksonville
Medge Higgins   Orp-le-Grand
Vanna Booth     Lillianes
Raphael Carlson Rosoux-Crenwick
Dylan Alvarez   Altamura
Rafael Robbins  Milton Keynes
Ferris Rowe     Rhemes-Notre-Dame
Gray Caldwell   Darwin
Rylee York      Wichita
Violet Watts    Lagos
Brady Coffey    Geelong
Aimee Mcneil    Leamington
Griffith Soto   Jonqui�re
Brooke Cash     Tarbes
Reagan Sparks   Thionville
Rooney Wynn     Caucaia
Brenden Mathis  Basirhat
Catherine Sloan Cambridge
Sharon Deleon   Aiseau-Presles
Sara Talley     Trochu
Harlan Acosta   Owerri
